UNIQUEID,wgs_xF,wgs_yF,PERS106,exp5nrm,exp3nrm,rough_1k,prad_sw_di,etpt_5,mind_yr_av,prec_winte,tave_sprin
Z4902020904784441,-109.1789,40.232986,0,-28,-24,10.49838352,-6205,92,-1386.916667,11.66666667,77
Z4902020904785159,-109.183526,40.052863,0,-21,-7,10.8895092,-6185,93,-1438.25,8.333333333,82.33333333
Z4902020904785809,-109.653229,40.01423,0,-1,-6,2.931042433,-6147,94,-1508.416667,9.666666667,91
Z4902020904786140,-109.639154,40.689678,0,130,146,60.31940079,-6044,81,-806.0833333,31,-1.333333333
Z4902020904786304,-109.165251,40.728195,1,119,219,92.55383301,-6152,87,-1064.166667,24.33333333,28.66666667
Z4902020904786896,-109.757145,40.73624,0,-24,-28,11.96712685,-6177,75,-692,36.66666667,-14
Z4902020904787801,-109.170223,40.548138,0,-51,-27,18.53743172,-6141,93,-1404.083333,14.33333333,73.66666667
Z4902020904788206,-109.188192,39.872753,1,34,33,24.35938644,-6133,93,-1385.333333,12,73.66666667
Z4902020904788557,-109.830491,39.926059,0,-96,-92,10.71716785,-6154,94,-1512.666667,10,94
Z4902020904788786,-109.760508,40.555997,1,-95,-52,17.06459427,-6132,90,-1180.666667,16,48.33333333
Z4902021000981085,-109.397695,40.911838,1,-37,33,21.90047264,-6160,90,-1197.833333,15,52
Z4902021001380641,-110.469528,40.516351,0,9,54,36.98191833,-6166,82,-787.25,28.66666667,5.333333333
Z4902021001381068,-110.239032,40.019559,1,23,5,12.78676701,-6188,91,-1273.833333,17,60.66666667
Z4902021001381166,-110.824123,40.337253,0,62,-7,87.54170227,-6039,74,-580.5,57,-17
Z4902021001381435,-110.35062,40.605832,0,-385,-380,60.30935287,-6026,84,-946.5833333,21.33333333,17.33333333
Z4902021001381496,-110.529803,40.336432,1,5,20,43.63890457,-6153,90,-1167,19.33333333,45.66666667
Z4902021001383619,-110.88353,40.021998,1,134,124,98.07975006,-5968,84,-876.3333333,38.33333333,5.333333333
Z4902021001384342,-110.353648,40.290537,1,38,32,6.073381424,-6171,91,-1268.5,17.66666667,58
Z4902021001385615,-110.531047,40.156252,1,-71,-46,20.81035042,-6215,91,-1314.333333,17.33333333,66.33333333
Z4902021001387367,-110.2355,40.334862,0,-22,-27,14.85551929,-6160,92,-1352.333333,15.66666667,64.66666667
Z4902021001388551,-110.70794,39.97664,0,118,172,83.48295593,-6227,82,-813.5833333,35.66666667,6.333333333
Z4902021004780071,-109.1237,40.096954,0,-29,-16,4.304226398,-6183,93,-1433.25,9.333333333,82.33333333
Z4902021004780090,-109.337862,39.487577,1,32,16,21.29417801,-6136,89,-1069.583333,26.33333333,38
Z4902021004783581,-109.298474,40.144698,0,27,30,10.81997299,-6138,93,-1440.083333,10,79
Z4902021004784576,-109.114975,40.412115,1,21,53,29.04733849,-6217,87,-1057.916667,24.66666667,40.33333333
Z4902021004784809,-109.290548,40.459888,1,-47,-80,57.80504608,-5945,93,-1419.583333,14.66666667,71
Z4902021004788311,-109.768757,40.105609,0,46,53,22.84311867,-6139,94,-1492.333333,10,85.33333333
Z4902021004789168,-109.302947,39.964582,0,45,19,10.19246578,-6170,93,-1431.5,9.333333333,81
Z4903020102380703,-113.620767,39.587033,0,-33,-25,12.41528511,-6087,93,-1487.75,12.33333333,79.66666667
Z4903020102381354,-113.627584,39.767051,0,18,17,12.65988636,-6181,93,-1493.083333,10.66666667,86.33333333
Z4903020102382052,-113.768254,39.781796,0,-4,0,11.497365,-6102,93,-1531.333333,9.666666667,87.33333333
Z4903020102383175,-112.223926,39.610205,0,336,271,48.23065186,-6065,89,-1045.416667,45,45.66666667
Z4903020102383206,-111.757483,39.569081,0,46,42,88.67401123,-6005,87,-924.25,52.66666667,27.66666667
Z4903020102383477,-112.401307,39.743294,0,11,7,5.185293674,-6129,93,-1416.583333,20.33333333,79
Z4903020102384525,-113.156725,39.641624,0,-33,-34,33.01001358,-6195,92,-1431.916667,14.33333333,81.66666667
Z4903020102385386,-111.875031,39.658356,0,-50,-15,5.543364525,-6137,93,-1379.916667,27,85
Z4903020102388409,-113.574305,39.903373,0,-1,0,0.535978317,-6129,94,-1579.25,8.333333333,96.33333333
Z4903020102388548,-112.051233,39.746993,0,0,27,22.43774605,-6102,92,-1275.75,34.66666667,65.66666667
Z4903020102780461,-112.559198,38.975419,0,-6,-9,2.479715586,-6098,94,-1538.083333,17.33333333,96
Z4903020102780873,-113.307636,38.917962,0,25,0,16.4377346,-6093,93,-1474.25,13.33333333,81.66666667
Z4903020102781698,-113.010585,38.608089,0,-4,0,1.543444872,-6068,94,-1534.166667,13.33333333,90.33333333
Z4903020102783129,-113.591054,38.776893,0,57,30,36.90156555,-6058,92,-1389.333333,18.33333333,67.66666667
Z4903020102783219,-113.136085,38.96628,0,0,0,0,-6099,94,-1562.583333,11,94.33333333
Z4903020102783677,-112.566167,39.290693,0,0,-1,0.91010046,-6111,94,-1533.25,16.33333333,95.33333333
Z4903020102783879,-112.087653,39.08887,1,-169,-135,38.91314316,-6065,91,-1298,30,60.66666667
Z4903020102784236,-113.777355,39.132954,0,-36,-24,5.974896908,-6063,93,-1482.666667,12.33333333,77.66666667
Z4903020102785149,-113.891072,39.085142,0,-24,-15,11.8161459,-6054,93,-1569.5,8.666666667,87.33333333
Z4903020102785210,-113.765102,38.817931,0,-51,-62,13.4032259,-6080,92,-1377.5,18.66666667,67
Z4903020102786031,-113.904042,39.400125,0,-5,0,0.693111837,-6094,94,-1582.25,7.333333333,92.66666667
Z4903020102786932,-112.681004,39.24404,0,0,0,2.23976922,-6111,94,-1539.083333,14.66666667,94.66666667
Z4903020102787044,-113.323885,39.41317,0,238,123,61.21232605,-6151,88,-1043.416667,35,40.33333333
Z4903020102787732,-113.758132,38.637896,0,-30,-7,7.03281641,-6032,94,-1559.833333,11.66666667,85.66666667
Z4903020102787955,-112.268141,38.798805,0,186,149,49.24549484,-5926,83,-833.0833333,49.66666667,10.66666667
Z4903020102787958,-112.685324,39.424178,0,0,0,0.256432414,-6125,94,-1529.25,14.66666667,93
Z4903020102788253,-112.83957,38.655952,0,-7,-4,5.00314045,-6103,93,-1452.416667,18.33333333,83
Z4903020102788339,-113.303275,38.782896,0,94,132,46.53083801,-6029,94,-1512.333333,12.33333333,84.33333333
Z4903020102788657,-113.935784,38.768709,0,-48,-58,15.75763416,-6093,93,-1490.166667,12.66666667,80.33333333
Z4903020102788664,-113.488393,39.139486,0,-78,-32,13.42497253,-6045,94,-1595.916667,8.333333333,97
Z4903020102788751,-113.441518,39.455805,0,-8,-1,0.238683254,-6117,94,-1582.666667,9,96.33333333
Z4903020103188242,-112.261912,38.483329,1,-16,23,81.89473724,-5954,89,-1162.25,25.66666667,46
Z4903020103980572,-111.754068,39.253711,1,4,-7,22.5887146,-5979,93,-1379.083333,27,68
