"UNIQUEID","wgs_xF","wgs_yF","PERS106","exp5nrm","exp3nrm","rough_1k","prad_sw_di","etpt_5","mind_yr_av","prec_winte","tave_sprin"
"Z0402030101781755",-110.331463,36.41507,1,41,39,12.5234127,-5887,94,-1525.75,21,81.66666667
"Z0402030101786660",-110.367688,36.072721,1,15,5,16.23563766,-5893,94,-1604.666667,18.33333333,88.66666667
"Z0402030101789813",-110.45844,34.1162,1,104,84,56.50005341,-5521,94,-1537.083333,47.33333333,88
"Z0402030101790478",-110.500208,36.190497,1,30,20,19.1883049,-5816,94,-1625.916667,18.33333333,89.66666667
"Z0402030102587031",-112.591548,35.099135,1,49,19,19.01428223,-5810,94,-1611.75,32.33333333,90.66666667
"Z0402030102590849",-111.875158,34.791041,1,33,33,35.05437469,-5821,96,-1727.333333,37.33333333,140.3333333
"Z0402030200181489",-109.267498,36.629687,1,129,132,26.98495483,-5877,94,-1457.25,23,80
"Z0402030200183717",-109.599586,33.613295,1,-294,-331,35.11725998,-5198,94,-1604.166667,42.33333333,87.33333333
"Z0402030200185780",-109.259581,34.420898,1,37,33,15.46884823,-5714,94,-1578.916667,20.33333333,91.66666667
"Z0402030200186429",-109.623107,35.46245,1,11,11,9.849058151,-5795,94,-1567.166667,21.66666667,89
"Z0402030200186684",-109.783609,35.77973,1,60,45,26.67761803,-5837,94,-1534.5,21.66666667,83.66666667
"Z0402030200190820",-109.337483,35.955149,1,-69,-89,37.81176758,-5827,93,-1463,22,77.33333333
"Z0402030200191092",-109.172646,35.907427,1,22,14,14.88363934,-5773,92,-1357.166667,27,62.66666667
"Z0402030200580857",-112.129274,34.996074,1,142,179,18.65475845,-5547,94,-1503.75,50,83.33333333
"Z0402030200581362",-112.989953,35.678808,1,100,63,10.3218708,-5817,92,-1427.333333,34.33333333,69
"Z0402030200583088",-111.386389,35.334729,1,12,2,21.92072678,-5699,94,-1479.666667,31.33333333,81.66666667
"Z0402030200583631",-111.550579,35.153089,1,-29,-49,13.7903347,-5765,92,-1229.833333,47.66666667,61.66666667
